Frecuencia,Tension,Densidad,Longitud
330.331191,71.75,0.000399,0.65
350.531976,71.75,0.000399,0.632
373.1,71.75,0.000399,0.597
392.842768,71.75,0.000399,0.5635
415.391748,71.75,0.000399,0.532
440.089661,71.75,0.000399,0.5025
466.049542,71.75,0.000399,0.474
497.1209,71.75,0.000399,0.447
526.7857,71.75,0.000399,0.422
561.4705,71.75,0.000399,0.3985
594.9671,71.75,0.000399,0.376
628.0162,71.75,0.000399,0.355
665.0445,71.75,0.000399,0.3355
703.7055,71.75,0.000399,0.3125
248.704663,49.55,0.000477,0.65
263.461037,49.55,0.000477,0.632
279.121796,49.55,0.000477,0.597
296.088857,49.55,0.000477,0.5635
313.635975,49.55,0.000477,0.532
331.441854,49.55,0.000477,0.5025
352.001126,49.55,0.000477,0.474
376.1975,49.55,0.000477,0.447
398.7805,49.55,0.000477,0.422
423.2101,49.55,0.000477,0.3985
450.6894,49.55,0.000477,0.376
475.1133,49.55,0.000477,0.355
503.6086,49.55,0.000477,0.3355
531.9648,49.55,0.000477,0.3125
196.41527,51.28,0.00103,0.65
208.410577,51.28,0.00103,0.632
222.482879,51.28,0.00103,0.597
235.45611,51.28,0.00103,0.5635
249.214973,51.28,0.00103,0.532
263.12009,51.28,0.00103,0.5025
280.237785,51.28,0.00103,0.474
300.01,51.28,0.00103,0.447
317.6314,51.28,0.00103,0.422
337.6609,51.28,0.00103,0.3985
358.8326,51.28,0.00103,0.376
377.0979,51.28,0.00103,0.355
400.753,51.28,0.00103,0.3355
423.1849,51.28,0.00103,0.3125
146.440913,65.65,0.00162,0.65
155.564184,65.65,0.00162,0.632
165.191564,65.65,0.00162,0.597
175.226932,65.65,0.00162,0.5635
185.442903,65.65,0.00162,0.532
195.889812,65.65,0.00162,0.5025
200.0,65.65,0.00162,0.474
222.2626,65.65,0.00162,0.447
235.4793,65.65,0.00162,0.422
249.6014,65.65,0.00162,0.3985
265.1715,65.65,0.00162,0.376
279.4581,65.65,0.00162,0.355
295.6215,65.65,0.00162,0.3355
313.0855,65.65,0.00162,0.3125
109.60068,67.0,0.0035,0.65
117.005184,67.0,0.0035,0.632
124.112624,67.0,0.0035,0.597
131.542888,67.0,0.0035,0.5635
139.434964,67.0,0.0035,0.532
147.378917,67.0,0.0035,0.5025
156.230733,67.0,0.0035,0.474
165.3066,67.0,0.0035,0.447
175.5349,67.0,0.0035,0.422
185.4258,67.0,0.0035,0.3985
197.1623,67.0,0.0035,0.376
207.2974,67.0,0.0035,0.355
221.66,67.0,0.0035,0.3355
234.8325,67.0,0.0035,0.3125
165.05497,62.2,0.00578,0.65
174.816722,62.2,0.00578,0.632
186.019175,62.2,0.00578,0.597
196.764485,62.2,0.00578,0.5635
207.94,62.2,0.00578,0.532
222.12,62.2,0.00578,0.5025
235.01,62.2,0.00578,0.474
249.6076,62.2,0.00578,0.447
265.0518,62.2,0.00578,0.422
279.7476,62.2,0.00578,0.3985
296.6456,62.2,0.00578,0.376
313.9456,62.2,0.00578,0.355
332.4547,62.2,0.00578,0.3355
352.0213,62.2,0.00578,0.3125
213.95916,37.6844,0.000477,0.65
213.67584,38.2208,0.000477,0.65
212.10314,39.2769,0.000477,0.65
219.52484,42.3173,0.000477,0.65
225.36763,43.8455,0.000477,0.65
229.54467,45.3175,0.000477,0.65
229.54467,45.3175,0.000477,0.65
238.50932,45.73,0.000477,0.65
244.31039,47.23,0.000477,0.65
253.2,55.26,0.000477,0.65
258.76732,56.63,0.000477,0.65
159.3925811,34.5736,0.00103,0.65
163.7795276,35.3576,0.00103,0.65
163.4117057,35.4926,0.00103,0.65
163.2906802,36.2595,0.00103,0.65
166.9934341,38.9226,0.00103,0.65
169.5515342,42.2212,0.00103,0.65
174.8915232,43.064,0.00103,0.65
188.36488,46.72,0.00103,0.65
191.376769,49.29,0.00103,0.65
201.741509,56.3,0.00103,0.65
207.72,59.8,0.00103,0.65
